дата;wiki id;page id;имя;профессия;ссылка
1900-01-01;Q7446707;7358399;Ивао, Сэйити;Japanese historian;https://ru.wikipedia.org/wiki/Ивао,_Сэйити
1900-01-01;Q7610511;7530045;Стивен Шеперд;Canadian academic;https://ru.wikipedia.org/wiki/Стивен_Шеперд
1900-01-01;Q7966437;7908318;Уолтер Уилсон;British footballer;https://ru.wikipedia.org/wiki/Уолтер_Уилсон
1900-01-01;Q7966482;7908367;Вальтер Цадек;израильский фотограф, дядя Петера Цадека;https://ru.wikipedia.org/wiki/Вальтер_Цадек
1900-01-01;Q7999911;7944207;Виктор Литвинский;российский и польский государственный деятель;https://ru.wikipedia.org/wiki/Виктор_Литвинский
1900-01-01;Q95150463;94076421;Дионисий (Марангудакис);греческий епископ;https://ru.wikipedia.org/wiki/Дионисий_(Марангудакис)
1900-01-01;Q97663471;96047362;Сампилон, Даши Сампилович;;https://ru.wikipedia.org/wiki/Сампилон,_Даши_Сампилович
1900-01-01;Q1449829;1388023;Цилли, Франц;German figure skater (1900-2000);https://ru.wikipedia.org/wiki/Цилли,_Франц
1900-01-01;Q1515700;1452891;Стрём, Гертруда;Swedish figure skater;https://ru.wikipedia.org/wiki/Стрём,_Гертруда
1900-01-01;Q1523912;1460946;Помье дю Верже, Шарль;sport shooter;https://ru.wikipedia.org/wiki/Помье_дю_Верже,_Шарль
1900-01-01;Q1524172;1461205;Энгльбер, Рене;Olympic sport shooter;https://ru.wikipedia.org/wiki/Энгльбер,_Рене
1900-01-01;Q1527428;1464429;Рейхман, Гизела;Австрийская фигуристка;https://ru.wikipedia.org/wiki/Рейхман,_Гизела
1900-01-01;Q1685689;1619099;Жан Мартен;French racing driver;https://ru.wikipedia.org/wiki/Жан_Мартен
1900-01-01;Q1892855;1822981;Марк Уильямс;American musician;https://ru.wikipedia.org/wiki/Марк_Уильямс
1900-01-01;Q1903865;1833847;Гордан, Мартин;German figure skater (1900-2000);https://ru.wikipedia.org/wiki/Гордан,_Мартин
1900-01-01;Q1966219;1895289;Наталья Розенель;Soviet actor (1900-1962);https://ru.wikipedia.org/wiki/Наталья_Розенель
1900-01-01;Q1974006;1902946;Каледжи, Недим;Футболист;https://ru.wikipedia.org/wiki/Каледжи,_Недим
1900-01-01;Q1996557;1925100;Кехоу, Фрэнк;American diver;https://ru.wikipedia.org/wiki/Кехоу,_Фрэнк
1900-01-01;Q2508067;2420895;Ахмад Мухтар Бабан;Prime Minister of Iraq;https://ru.wikipedia.org/wiki/Ахмад_Мухтар_Бабан
1900-01-01;Q2586871;2495869;Крле, Ристо;Macedonian writer;https://ru.wikipedia.org/wiki/Крле,_Ристо
1900-01-01;Q2602731;2510851;Кут Хуми;махатма;https://ru.wikipedia.org/wiki/Кут_Хуми
1900-01-01;Q2624096;2530499;Флэнаган, Патрик;American tug of war competitor;https://ru.wikipedia.org/wiki/Флэнаган,_Патрик
1900-01-01;Q2639623;2544825;Шмальфус, Альбин;German painter;https://ru.wikipedia.org/wiki/Шмальфус,_Альбин
1900-01-01;Q2895397;2771674;Бен Дэвис;British musician;https://ru.wikipedia.org/wiki/Бен_Дэвис
1900-01-01;Q3613820;3441833;Амброджо Коломбо;Italian engineer and aviator;https://ru.wikipedia.org/wiki/Амброджо_Коломбо
1900-01-01;Q3619273;3447177;Антонио Бланко;Argentinian association football player;https://ru.wikipedia.org/wiki/Антонио_Бланко
1900-01-01;Q3736863;3562273;Пачеко, Хорхе Херман;Uruguayan association football player;https://ru.wikipedia.org/wiki/Пачеко,_Хорхе_Херман
1900-01-01;Q3876524;3698395;Рофрано, Николас;Argentinian association football player;https://ru.wikipedia.org/wiki/Рофрано,_Николас
1900-01-01;Q4065285;3874054;Андерсон, Уильям;канадский велогонщик;https://ru.wikipedia.org/wiki/Андерсон,_Уильям
1900-01-01;Q4075445;3883969;Байдалаков, Виктор Михайлович;;https://ru.wikipedia.org/wiki/Байдалаков,_Виктор_Михайлович
1900-01-01;Q4075704;3884211;Байрамов, Исмаил Халилович;Russian military personnel;https://ru.wikipedia.org/wiki/Байрамов,_Исмаил_Халилович
1900-01-01;Q4080999;3889383;Безродный, Григорий Ефимович;;https://ru.wikipedia.org/wiki/Безродный,_Григорий_Ефимович
1900-01-01;Q20005412;21646497;Мануэль Фернандес;Spanish trade unionist;https://ru.wikipedia.org/wiki/Мануэль_Фернандес
1900-01-01;Q20020955;21691437;Шкварцев, Александр Алексеевич;Soviet ambassador in Berlin;https://ru.wikipedia.org/wiki/Шкварцев,_Александр_Алексеевич
1900-01-01;Q20751357;22497083;Эрика Форстер;American musician;https://ru.wikipedia.org/wiki/Эрика_Форстер
1900-01-01;Q20871768;22615368;Александр Полонский;российский медик, историк;https://ru.wikipedia.org/wiki/Александр_Полонский
1900-01-01;Q21144781;23192059;Троянов, Николай Иванович;;https://ru.wikipedia.org/wiki/Троянов,_Николай_Иванович
1900-01-01;Q21144782;23192060;Троянкер, Бенедикт Устинович;;https://ru.wikipedia.org/wiki/Троянкер,_Бенедикт_Устинович
1900-01-01;Q21600195;23641628;Винокуров, Самсон Артемьевич;;https://ru.wikipedia.org/wiki/Винокуров,_Самсон_Артемьевич
1900-01-01;Q21706122;23744981;Яков Филиппович  Ерёменко;;https://ru.wikipedia.org/wiki/Яков_Филиппович__Ерёменко
1900-01-01;Q21856793;23893585;Алексеев, Владимир Павлович;;https://ru.wikipedia.org/wiki/Алексеев,_Владимир_Павлович
1900-01-01;Q22247817;24276410;Пера Аташева;1900-1965;https://ru.wikipedia.org/wiki/Пера_Аташева
1900-01-01;Q2960920;2831738;Шарло;French rower;https://ru.wikipedia.org/wiki/Шарло
1900-01-01;Q3737201;3562608;Родригес, Грегорио;уругвайский футболист;https://ru.wikipedia.org/wiki/Родригес,_Грегорио
1900-01-01;Q4055182;3864192;Абуков, Халид Кучукович;Soviet writer (1900-1937);https://ru.wikipedia.org/wiki/Абуков,_Халид_Кучукович
1900-01-01;Q4056781;3865755;Агаянц, Александр Иванович;;https://ru.wikipedia.org/wiki/Агаянц,_Александр_Иванович
1900-01-01;Q4063530;3872364;Альперин, Михаил Семёнович;;https://ru.wikipedia.org/wiki/Альперин,_Михаил_Семёнович
1900-01-01;Q4075572;3884086;Байков, Борис Львович;Russian lawyer;https://ru.wikipedia.org/wiki/Байков,_Борис_Львович
1900-01-01;Q4087136;3895368;Бирюков, Павел (актёр);Russian actor;https://ru.wikipedia.org/wiki/Бирюков,_Павел_(актёр)
