дата;wiki id;page id;имя;профессия;ссылка
1924-06-04;Q22045640;24077193;Гершман, Борис Николаевич;;https://ru.wikipedia.org/wiki/Гершман,_Борис_Николаевич
1924-06-04;Q44155314;45354526;Александр Александрович Копылов;;https://ru.wikipedia.org/wiki/Александр_Александрович_Копылов
1924-06-04;Q536867;505536;Рамальетс, Антони;испанский футболист;https://ru.wikipedia.org/wiki/Рамальетс,_Антони
1924-06-04;Q4154390;3962547;Дамбран, Рудольф Николаевич;Russian actor;https://ru.wikipedia.org/wiki/Дамбран,_Рудольф_Николаевич
1924-06-05;Q20435425;22184205;Каталин Банфи;;https://ru.wikipedia.org/wiki/Каталин_Банфи
1924-06-05;Q4295568;4105889;Миренков, Иван Степанович;;https://ru.wikipedia.org/wiki/Миренков,_Иван_Степанович
1924-06-05;Q16335701;17963756;Мясницин, Виктор Александрович;Герой Советского Союза;https://ru.wikipedia.org/wiki/Мясницин,_Виктор_Александрович
1924-06-05;Q376617;358419;Джеффри Чу;American theoretical physicist;https://ru.wikipedia.org/wiki/Джеффри_Чу
1924-06-06;Q723591;680295;Роберт Абернати;American writer;https://ru.wikipedia.org/wiki/Роберт_Абернати
1924-06-06;Q4909643;4690418;Билл Джонс;Footballer (1924-1995);https://ru.wikipedia.org/wiki/Билл_Джонс
1924-06-06;Q5548600;5308807;Амблер, Джон;British businessman (1924-2008);https://ru.wikipedia.org/wiki/Амблер,_Джон
1924-06-06;Q3069574;2933917;Радован Рихта;чешский философ;https://ru.wikipedia.org/wiki/Радован_Рихта
1924-06-06;Q15061092;16726577;Шило, Андрей Ефимович;;https://ru.wikipedia.org/wiki/Шило,_Андрей_Ефимович
1924-06-06;Q59535559;59431897;Искрич, Фёдор Маркович;;https://ru.wikipedia.org/wiki/Искрич,_Фёдор_Маркович
1924-06-06;Q17321922;18918745;Герхард Гудер;немецкий архитектор;https://ru.wikipedia.org/wiki/Герхард_Гудер
1924-06-06;Q1360255;1299837;Ниг, Серж;French composer;https://ru.wikipedia.org/wiki/Ниг,_Серж
1924-06-06;Q16011177;17628672;Чирау, Джереми;Zimbabwean politician;https://ru.wikipedia.org/wiki/Чирау,_Джереми
1924-06-06;Q60595564;60459997;Горбунов, Николай Иванович;Soviet footballer (1924-1992);https://ru.wikipedia.org/wiki/Горбунов,_Николай_Иванович
1924-06-06;Q1748562;1681448;Орна Порат;Israeli-German actress and director who converted to Judaism;https://ru.wikipedia.org/wiki/Орна_Порат
1924-06-06;Q4706794;4497331;Алан Хайнс;British actor and playwright;https://ru.wikipedia.org/wiki/Алан_Хайнс
1924-06-06;Q84724200;84024476;Раздымалин, Иван Фёдорович;;https://ru.wikipedia.org/wiki/Раздымалин,_Иван_Фёдорович
1924-06-07;Q1240482;1181670;Дональд Дэвис;British computer scientist;https://ru.wikipedia.org/wiki/Дональд_Дэвис
